Threshold, Pixels, dV
4233.0 , 173, 0.0
4243.0 , 173, 0.0
4253.0 , 172, 0.0
4263.0 , 171, 0.0
4273.0 , 170, 0.0
4283.0 , 170, 0.0
4293.0 , 170, 0.0
4303.0 , 169, 0.0
4313.0 , 166, 0.0
4323.0 , 166, 0.0
4333.0 , 165, 0.0
4343.0 , 165, 0.0
4353.0 , 165, 0.0
4363.0 , 163, 0.0
4373.0 , 162, 0.0
4383.0 , 161, 0.0
4393.0 , 157, 0.0
4403.0 , 155, 0.0
4413.0 , 155, 0.0
4423.0 , 153, 0.0
4433.0 , 152, 0.0
4443.0 , 152, 0.0
4453.0 , 151, 0.0
4463.0 , 150, 0.0
4473.0 , 148, 0.0
4483.0 , 148, 0.0
4493.0 , 145, 0.0
4503.0 , 145, 0.0
4513.0 , 144, 0.0
4523.0 , 144, 0.0
4533.0 , 143, 0.0
4543.0 , 143, 0.0
4553.0 , 141, 0.0
4563.0 , 138, 0.0
4573.0 , 138, 0.0
4583.0 , 138, 0.0
4593.0 , 137, 0.0
4603.0 , 136, 0.0
4613.0 , 133, 0.0
4623.0 , 133, 0.0
4633.0 , 129, 0.0
4643.0 , 127, 0.0
4653.0 , 126, 0.0
4663.0 , 126, 0.0
4673.0 , 123, 0.0
4683.0 , 122, 0.0
4693.0 , 121, 0.0
4703.0 , 120, 0.0
4713.0 , 119, 0.0
4723.0 , 117, 0.0
4733.0 , 117, 0.0
4743.0 , 115, 0.0
4753.0 , 113, 0.0
4763.0 , 113, 0.0
4773.0 , 112, 0.0
4783.0 , 112, 0.0
4793.0 , 111, 0.0
4803.0 , 109, 0.0
4813.0 , 107, 0.0
4823.0 , 107, 0.0
4833.0 , 107, 0.0
4843.0 , 106, 0.0
4853.0 , 106, 0.0
4863.0 , 104, 0.0
4873.0 , 103, 0.0
4883.0 , 103, 0.0
4893.0 , 103, 0.0
4903.0 , 102, 0.0
4913.0 , 101, 0.0
4923.0 , 100, 0.0
4933.0 , 99, 0.0
4943.0 , 99, 0.0
4953.0 , 98, 0.0
4963.0 , 97, 0.0
4973.0 , 97, 0.0
4983.0 , 97, 0.0
4993.0 , 97, 0.0
5003.0 , 97, 0.0
5013.0 , 96, 0.0
5023.0 , 95, 0.0
5033.0 , 94, 0.0
5043.0 , 92, 0.0
5053.0 , 91, 0.0
5063.0 , 89, 0.0
5073.0 , 86, 0.0
5083.0 , 84, 0.0
5093.0 , 83, 0.0
5103.0 , 82, 0.0
5113.0 , 81, 0.0
5123.0 , 80, 0.0
5133.0 , 79, 0.0
5143.0 , 77, 0.0
5153.0 , 77, 0.0
5163.0 , 76, 0.0
5173.0 , 75, 0.0
5183.0 , 74, 0.0
5193.0 , 73, 0.0
5203.0 , 72, 0.0
5213.0 , 72, 0.0
5223.0 , 72, 0.0
5233.0 , 72, 0.0
5243.0 , 72, 0.0
5253.0 , 71, 0.0
5263.0 , 70, 0.0
5273.0 , 70, 0.0
5283.0 , 70, 0.0
5293.0 , 70, 0.0
5303.0 , 69, 0.0
5313.0 , 69, 0.0
5323.0 , 69, 0.0
5333.0 , 68, 0.0
5343.0 , 68, 0.0
5353.0 , 68, 0.0
5363.0 , 66, 0.0
5373.0 , 65, 0.0
5383.0 , 64, 0.0
5393.0 , 62, 0.0
5403.0 , 62, 0.0
5413.0 , 61, 0.0
5423.0 , 61, 0.0
5433.0 , 59, 0.0
5443.0 , 59, 0.0
5453.0 , 58, 0.0
5463.0 , 55, 0.0
5473.0 , 55, 0.0
5483.0 , 53, 0.0
5493.0 , 53, 0.0
5503.0 , 52, 0.0
5513.0 , 51, 0.0
5523.0 , 50, 0.0
5533.0 , 50, 0.0
5543.0 , 50, 0.0
5553.0 , 48, 0.0
5563.0 , 47, 0.0
5573.0 , 46, 0.0
5583.0 , 46, 0.0
5593.0 , 46, 0.0
5603.0 , 46, 0.0
5613.0 , 46, 0.0
5623.0 , 46, 0.0
5633.0 , 46, 0.0
5643.0 , 44, 0.0
5653.0 , 44, 0.0
5663.0 , 44, 0.0
5673.0 , 42, 0.0
5683.0 , 42, 0.0
5693.0 , 42, 0.0
5703.0 , 41, 0.0
5713.0 , 39, 0.0
5723.0 , 38, 0.0
5733.0 , 37, 0.0
5743.0 , 36, 0.0
5753.0 , 36, 0.0
5763.0 , 35, 0.0
5773.0 , 34, 0.0
5783.0 , 33, 0.0
5793.0 , 33, 0.0
5803.0 , 33, 0.0
5813.0 , 33, 0.0
5823.0 , 33, 0.0
5833.0 , 33, 0.0
5843.0 , 30, 0.0
5853.0 , 30, 0.0
5863.0 , 27, 0.0
5873.0 , 26, 0.0
5883.0 , 26, 0.0
5893.0 , 26, 0.0
5903.0 , 26, 0.0
5913.0 , 26, 0.0
5923.0 , 26, 0.0
5933.0 , 26, 0.0
5943.0 , 26, 0.0
5953.0 , 25, 0.0
5963.0 , 25, 0.0
5973.0 , 25, 0.0
5983.0 , 25, 0.0
5993.0 , 25, 0.0
6003.0 , 24, 0.0
6013.0 , 24, 0.0
6023.0 , 24, 0.0
6033.0 , 24, 0.0
6043.0 , 24, 0.0
6053.0 , 24, 0.0
6063.0 , 24, 0.0
6073.0 , 24, 0.0
6083.0 , 23, 0.0
6093.0 , 23, 0.0
6103.0 , 23, 0.0
6113.0 , 23, 0.0
6123.0 , 22, 0.0
6133.0 , 21, 0.0
6143.0 , 20, 0.0
6153.0 , 20, 0.0
6163.0 , 20, 0.0
6173.0 , 20, 0.0
6183.0 , 19, 0.0
6193.0 , 18, 0.0
6203.0 , 18, 0.0
6213.0 , 18, 0.0
6223.0 , 18, 0.0
6233.0 , 16, 0.0
6243.0 , 16, 0.0
6253.0 , 14, 0.0
6263.0 , 14, 0.0
6273.0 , 14, 0.0
6283.0 , 14, 0.0
6293.0 , 14, 0.0
6303.0 , 14, 0.0
6313.0 , 14, 0.0
6323.0 , 14, 0.0
6333.0 , 14, 0.0
6343.0 , 14, 0.0
6353.0 , 14, 0.0
6363.0 , 13, 0.0
6373.0 , 13, 0.0
6383.0 , 13, 0.0
6393.0 , 13, 0.0
6403.0 , 13, 0.0
6413.0 , 13, 0.0
6423.0 , 13, 0.0
6433.0 , 13, 0.0
6443.0 , 13, 0.0
